자치구,행정동,행정동코드,A_인프라,B_외출커뮤적은,C_배달의존,D_이동저하,E_독거비율,Dependency
마포구,용강동,11440590,0.6602934727965452,0.17347374560196074,0.9541284403669726,0.47275180407629236,0.2130393784226402,50.0
노원구,공릉2동,11350600,0.6566282753236813,0.27480435150483684,0.9724770642201835,0.35854610871476167,0.13945157924691368,49.9
도봉구,쌍문2동,11320670,0.5631277839799232,0.21910328733888365,0.9357798165137615,0.5400903571355562,0.2628294119289157,49.6
은평구,구산동,11380560,0.5661423659247856,0.3409681383122476,0.9357798165137615,0.4333830774577345,0.16176298658729646,49.6
노원구,상계5동,11350670,0.6265699637828491,0.21335732093594081,0.8623853211009175,0.5102520596111781,0.2459966597555274,49.5
강서구,공항동,11500620,0.6614119398368444,0.18512071904799487,0.9174311926605504,0.37884171147044987,0.29698940990572803,49.5
성동구,용답동,11200790,0.5781761295574498,0.1605101450056379,0.7706422018348623,0.6070200543778237,0.4248027359038577,49.5
도봉구,방학2동,11320700,0.5738125160616673,0.2847760486843443,0.6697247706422019,0.6063209109307603,0.3206810783730515,49.3
강남구,삼성1동,11680580,0.7825078211025155,0.2233762713621393,0.8440366972477066,0.31545679416153916,0.12148629573354555,49.3
서대문구,남가좌2동,11410700,0.6289361385676194,0.2562878952623729,0.8623853211009175,0.46193347915857474,0.2023331511540144,49.2
동작구,노량진2동,11590520,0.7590436167186659,0.15901992826264516,0.5137614678899083,0.5622626080912567,0.35136839905380457,49.1
영등포구,신길1동,11560630,0.581475556677919,0.1866125925877837,0.7614678899082571,0.567078929615471,0.4030116327404709,49.0
서대문구,충현동,11410565,0.645653774170387,0.13133026022019179,0.9724770642201835,0.4821922848907334,0.23358946952124923,48.9
양천구,신월3동,11470580,0.45852991760216943,0.2196888677192553,0.7706422018348623,0.654173395751988,0.4816096129371217,48.7
구로구,고척2동,11530730,0.5995302601155085,0.31205211976499564,0.8256880733944955,0.41563055788376224,0.2226463416840608,48.5
양천구,신정3동,11470640,0.5864987055757532,0.3401313888014395,0.981651376146789,0.30296624895230706,0.1585596005207858,48.5
중랑구,망우3동,11260660,0.4920189640504219,0.2324112820485049,0.7614678899082571,0.6457509659218679,0.40027381243729476,48.4
관악구,인헌동,11620625,0.5887732229536299,0.2702683200595796,0.8440366972477066,0.4629883271664248,0.24396474476128935,48.4
은평구,갈현2동,11380552,0.6598163524492416,0.26753844808463256,0.743119266055046,0.45245211276243436,0.21163867041317874,48.3
강남구,대치2동,11680610,0.7466250746207873,0.292913937260573,0.9724770642201835,0.20723674796083147,0.006497596657989775,48.2
동작구,상도4동,11590560,0.5625935536901342,0.2471355599958482,0.981651376146789,0.4493611627859435,0.19448716803614688,48.1
금천구,시흥4동,11545700,0.48212524904293597,0.33337622531865185,0.7614678899082571,0.5746018766482002,0.29762921054133507,47.9
광진구,중곡3동,11215760,0.574663946589416,0.21766362315516494,0.6422018348623855,0.5853384304025187,0.415693392155268,47.9
중랑구,신내1동,11260680,0.6167546177092705,0.27717485334020125,0.944954128440367,0.3810781527894189,0.13050258564071943,47.8
성북구,월곡1동,11290715,0.5669793804856743,0.2290044529459109,0.9174311926605504,0.5398000695054888,0.17850651591869737,47.8
동대문구,회기동,11230710,0.6412400172217912,0.12920542966716733,0.6605504587155964,0.6469121164421368,0.34251655917645096,47.7
강서구,화곡8동,11500593,0.62022258932225,0.2864344002203938,0.7339449541284405,0.48343929513257144,0.21038988553169904,47.7
은평구,신사1동,11380631,0.5944237058897665,0.22750350135324088,0.944954128440367,0.4515689841977226,0.17928165691320871,47.6
서초구,서초1동,11650510,0.7122932064071524,0.15798619232535777,0.8623853211009175,0.39382218860518825,0.19358134576333325,47.5
영등포구,도림동,11560585,0.5431846748013346,0.30923025772116713,0.6513761467889908,0.557348161170963,0.32202012684763187,47.4
은평구,진관동,11380690,0.6725815968814374,0.27446025889763237,0.981651376146789,0.23232414089171471,0.11815786811030801,47.4
중랑구,묵2동,11260630,0.599855389353889,0.12936542768823397,0.8990825688073395,0.5390273320113661,0.27899673801267394,47.4
구로구,신도림동,11530510,0.6273498709058821,0.24771964482998166,0.9724770642201835,0.3964184230431138,0.0915551647150728,47.3
중랑구,면목7동,11260570,0.6067148589993964,0.2543347365345215,0.6605504587155964,0.5034241674673425,0.32757203633338877,47.3
구로구,오류2동,11530780,0.5954258324727489,0.27737202515949083,0.9724770642201835,0.33298444303616326,0.1635815227475634,47.2
성북구,월곡2동,11290725,0.6162028305272885,0.20774988931179936,0.7981651376146789,0.5261524623341578,0.21639217443155467,47.1
도봉구,창1동,11320511,0.5512691754938669,0.23863410968507798,0.9174311926605504,0.4812928020933418,0.22251219010689877,47.1
